"id","daysInactive","daysInactiveAvg","daysInactiveSD","activeSince","visits","clicks","sales","revenue","productCategories","productViews","timeOfDay","timeOfDaySD","weekdayPercent","duration","clicksClothing","clicksShoes","clicksElectronics","clicksWatches","clicksBooks","clicksMovies","clicksMusic","clicksJewelry","clicksKitchen","clicksHome","clicksGarden","clicksPet","clicksFood","clicksHealth","clicksToys","clicksTools","clicksAutomotive","clicksOutdoors","clicksHandmade","clicksSports","clicksScience","clicksIndustrial","churn"
141636,12,0.5,0.8660254,14,5,19,0,0,1,3,12.2,4.1472883,1,8.983334,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106988,9,1,1,11,3,3,0,0,1,1,7,1.7320508,0.66666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
127074,30,27.5,27.5,85,3,8,0,0,1,1.3333334,14.666667,3.785939,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1
125717,8,0,0,8,2,2,0,0,1,1,16.5,0.70710677,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143418,21,6,6,33,3,3,0,0,1,1,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
124922,16,5,0,22,2,4,0,0,1.5,2,17,5.656854,0.5,6.7083335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1
106954,0,60,0,61,2,2,0,0,1,1,11.5,2.1213202,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
112303,10,0,0,10,3,32,5,14954,1,3.6666667,9.666667,2.081666,1,21.372223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1
120612,7,4.75,6.609652,27,5,6,0,0,1,1,10.6,2.50998,0.8,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
100340,10,0,0,10,2,2,0,0,1,1,11,15.556349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
118387,22,0,0,22,2,5,0,0,1,2.5,20,0,0,1.5166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
130467,3,0,0,3,2,4,0,0,1,2,11.5,4.9497476,1,0.8833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
100544,8,1,0,10,2,3,0,0,1,1.5,16,1.4142135,0.5,1.6833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
145552,15,3,3.8297083,35,7,8,0,0,1,1,16.714285,5.4989176,0.85714285,1.3095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1
115296,2,0,0,2,4,8,0,0,1,1.5,9.25,0.9574271,0,6.6458335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
105862,5,4,0,10,2,2,0,0,1,1,17.5,6.363961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
138011,7,63,0,71,2,3,0,0,1,1.5,18.5,3.535534,0,0.083333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
135792,5,29,0,34,2,2,0,0,1,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
137572,7,1.5,1.5,11,3,7,0,0,1,1.6666666,20,1.7320508,0.3333333,3.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1
141032,27,0,0,27,2,3,0,0,1,1.5,14.5,0.70710677,1,0.36666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
114005,3,0,0,4,2,6,0,0,1,1.5,10.5,3.535534,1,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
124920,28,10,0,38,2,2,0,0,1,1,10,1.4142135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
135177,27,24,24,75,3,3,0,0,1,1,15.333333,6.350853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
111308,4,0,0,4,2,5,0,0,1,1.5,4.5,6.363961,1,1.4833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
141570,24,64,0,89,2,2,0,0,1,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
121215,13,0,0,13,2,3,0,0,1,1,14,9.899495,1,1.1583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
123946,13,37.5,16.5,89,3,3,0,0,1,1,7.3333335,3.0550504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
106890,22,0,0,22,2,2,0,0,1,1,8.5,0.70710677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
122626,19,0,0,19,4,4,0,0,1,1,6,11.343133,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
115578,0,6,0,7,2,3,0,0,1,1.5,14,0,1,2.1416667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143078,28,11,0,39,2,2,0,0,1,1,5.5,7.7781744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
145874,27,0,0,28,2,2,0,0,1,1,19.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
124524,26,5,0,32,2,2,0,0,1,1,11.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
148938,13,10.5,17.051394,57,5,28,1,1246,1,4,16.4,4.929503,0.4,10.923333,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1
104989,0,0,0,1,2,2,0,0,1,1,16,1.4142135,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
100346,19,5,0,24,2,2,0,0,1,1,13,4.2426405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
130567,25,3.3333333,3.3993464,36,4,8,0,0,1,1.5,16.25,2.0615528,0.5,2.5125,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1
113961,13,4,4,22,3,5,0,0,1,1.3333334,21.666666,0.57735026,0.3333333,0.8833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1
112449,24,45,0,70,2,2,0,0,1,1,11.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
105463,1,35.5,33.5,73,3,7,0,0,1,1.6666666,13.666667,4.932883,0.66666666,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1
145808,23,0,0,23,3,12,0,0,1,4,12.333333,1.1547005,0,15.677778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1
143023,27,0,0,27,2,2,0,0,1,1,11.5,16.263456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
128973,21,0,0,22,2,7,0,0,1,3,18,5.656854,0,10.516666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
110947,21,0,0,21,3,5,0,0,1,1.3333334,9,1,1,5.2166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
127646,5,0,0,5,2,2,0,0,1,1,10.5,0.70710677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
144878,21,0,0,21,2,4,0,0,1,2,22.5,0.70710677,0,0.35833332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
107621,3,3.090909,3.3426867,41,12,14,0,0,1,1.0833334,13.833333,6.393652,0.83333333,0.5861111,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,1,3,2,0,0
109424,2,11,0,13,2,5,0,0,1,2.5,4.5,6.363961,0.5,0.39166668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1
114686,2,1,0,3,2,10,0,0,1,4,3.5,0.70710677,0.5,6.2166667,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1
112110,18,0,0,18,2,4,0,0,1.5,1.5,10.5,0.70710677,1,3.4416666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1
139075,25,1,0,26,2,2,0,0,1,1,20,2.828427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
142972,26,39,0,66,2,2,0,0,1,1,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
105866,10,0,0,10,2,2,0,0,1,1,15.5,7.7781744,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128125,18,0,0,18,2,2,0,0,1,1,13,12.727922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
134738,30,64,0,95,2,2,0,0,1,1,21.5,0.70710677,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135451,21,74,0,95,2,2,0,0,1,1,14,8.485281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
145894,7,0,0,7,2,5,0,0,1,2,13,0,1,5.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
138917,9,10,9.092121,41,4,4,0,0,1,1,11.25,7.632169,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
103414,7,15,15,37,3,4,0,0,1,1,7.6666665,13.279057,0.66666666,0.3611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
108206,22,0,0,22,2,2,0,0,1,1,14,9.899495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
131294,0,0,0,1,2,2,0,0,1,1,12,14.142136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
125437,1,9,12.727922,29,4,5,0,0,1,1.25,13.5,7.5498343,0,0.19166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1
144466,2,13.333333,11.469767,43,4,4,0,0,1,1,9.75,2.5,0.25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
